fips,stateabbr,naics,month_code,coverage_measure,year,month_number,date,coverage_score
22,LA,442,cov201901,A,2019,1,2019-01-01,4.0
22,LA,443,cov201901,A,2019,1,2019-01-01,4.0
22,LA,444,cov201901,A,2019,1,2019-01-01,4.0
22,LA,445,cov201901,C,2019,1,2019-01-01,2.0
22,LA,446,cov201901,A,2019,1,2019-01-01,4.0
22,LA,447,cov201901,A,2019,1,2019-01-01,4.0
22,LA,448,cov201901,B,2019,1,2019-01-01,3.0
22,LA,451,cov201901,B,2019,1,2019-01-01,3.0
22,LA,452,cov201901,D,2019,1,2019-01-01,1.0
22,LA,453,cov201901,B,2019,1,2019-01-01,3.0
22,LA,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
23,ME,441,cov201901,A,2019,1,2019-01-01,4.0
23,ME,442,cov201901,A,2019,1,2019-01-01,4.0
23,ME,443,cov201901,A,2019,1,2019-01-01,4.0
23,ME,444,cov201901,A,2019,1,2019-01-01,4.0
23,ME,445,cov201901,C,2019,1,2019-01-01,2.0
23,ME,446,cov201901,A,2019,1,2019-01-01,4.0
23,ME,447,cov201901,A,2019,1,2019-01-01,4.0
23,ME,448,cov201901,C,2019,1,2019-01-01,2.0
23,ME,451,cov201901,D,2019,1,2019-01-01,1.0
23,ME,452,cov201901,C,2019,1,2019-01-01,2.0
23,ME,453,cov201901,A,2019,1,2019-01-01,4.0
23,ME,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
24,MD,441,cov201901,A,2019,1,2019-01-01,4.0
24,MD,442,cov201901,A,2019,1,2019-01-01,4.0
24,MD,443,cov201901,A,2019,1,2019-01-01,4.0
24,MD,444,cov201901,A,2019,1,2019-01-01,4.0
24,MD,445,cov201901,D,2019,1,2019-01-01,1.0
24,MD,446,cov201901,A,2019,1,2019-01-01,4.0
24,MD,447,cov201901,A,2019,1,2019-01-01,4.0
24,MD,448,cov201901,A,2019,1,2019-01-01,4.0
24,MD,451,cov201901,C,2019,1,2019-01-01,2.0
24,MD,452,cov201901,C,2019,1,2019-01-01,2.0
24,MD,453,cov201901,B,2019,1,2019-01-01,3.0
24,MD,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
25,MA,441,cov201901,A,2019,1,2019-01-01,4.0
25,MA,442,cov201901,A,2019,1,2019-01-01,4.0
25,MA,443,cov201901,A,2019,1,2019-01-01,4.0
25,MA,444,cov201901,A,2019,1,2019-01-01,4.0
25,MA,445,cov201901,D,2019,1,2019-01-01,1.0
25,MA,446,cov201901,A,2019,1,2019-01-01,4.0
25,MA,447,cov201901,A,2019,1,2019-01-01,4.0
25,MA,448,cov201901,A,2019,1,2019-01-01,4.0
25,MA,451,cov201901,C,2019,1,2019-01-01,2.0
25,MA,452,cov201901,C,2019,1,2019-01-01,2.0
25,MA,453,cov201901,A,2019,1,2019-01-01,4.0
25,MA,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
26,MI,441,cov201901,A,2019,1,2019-01-01,4.0
26,MI,442,cov201901,A,2019,1,2019-01-01,4.0
26,MI,443,cov201901,A,2019,1,2019-01-01,4.0
26,MI,444,cov201901,A,2019,1,2019-01-01,4.0
26,MI,445,cov201901,A,2019,1,2019-01-01,4.0
26,MI,446,cov201901,A,2019,1,2019-01-01,4.0
26,MI,447,cov201901,A,2019,1,2019-01-01,4.0
26,MI,448,cov201901,A,2019,1,2019-01-01,4.0
26,MI,451,cov201901,A,2019,1,2019-01-01,4.0
26,MI,452,cov201901,B,2019,1,2019-01-01,3.0
26,MI,453,cov201901,B,2019,1,2019-01-01,3.0
26,MI,TOTAL,cov201901,A,2019,1,2019-01-01,4.0
27,MN,441,cov201901,A,2019,1,2019-01-01,4.0
27,MN,442,cov201901,A,2019,1,2019-01-01,4.0
27,MN,443,cov201901,A,2019,1,2019-01-01,4.0
27,MN,444,cov201901,A,2019,1,2019-01-01,4.0
27,MN,445,cov201901,C,2019,1,2019-01-01,2.0
27,MN,446,cov201901,B,2019,1,2019-01-01,3.0
27,MN,447,cov201901,A,2019,1,2019-01-01,4.0
27,MN,448,cov201901,A,2019,1,2019-01-01,4.0
27,MN,451,cov201901,A,2019,1,2019-01-01,4.0
27,MN,452,cov201901,D,2019,1,2019-01-01,1.0
27,MN,453,cov201901,B,2019,1,2019-01-01,3.0
27,MN,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
28,MS,441,cov201901,A,2019,1,2019-01-01,4.0
28,MS,442,cov201901,A,2019,1,2019-01-01,4.0
28,MS,443,cov201901,A,2019,1,2019-01-01,4.0
28,MS,444,cov201901,A,2019,1,2019-01-01,4.0
28,MS,445,cov201901,A,2019,1,2019-01-01,4.0
28,MS,446,cov201901,A,2019,1,2019-01-01,4.0
28,MS,447,cov201901,A,2019,1,2019-01-01,4.0
28,MS,448,cov201901,A,2019,1,2019-01-01,4.0
28,MS,451,cov201901,B,2019,1,2019-01-01,3.0
28,MS,452,cov201901,D,2019,1,2019-01-01,1.0
28,MS,453,cov201901,A,2019,1,2019-01-01,4.0
28,MS,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
29,MO,441,cov201901,A,2019,1,2019-01-01,4.0
29,MO,442,cov201901,A,2019,1,2019-01-01,4.0
29,MO,443,cov201901,A,2019,1,2019-01-01,4.0
29,MO,444,cov201901,A,2019,1,2019-01-01,4.0
29,MO,445,cov201901,C,2019,1,2019-01-01,2.0
29,MO,446,cov201901,A,2019,1,2019-01-01,4.0
29,MO,447,cov201901,A,2019,1,2019-01-01,4.0
29,MO,448,cov201901,A,2019,1,2019-01-01,4.0
29,MO,451,cov201901,A,2019,1,2019-01-01,4.0
29,MO,452,cov201901,D,2019,1,2019-01-01,1.0
29,MO,453,cov201901,B,2019,1,2019-01-01,3.0
29,MO,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
30,MT,441,cov201901,A,2019,1,2019-01-01,4.0
30,MT,442,cov201901,A,2019,1,2019-01-01,4.0
30,MT,443,cov201901,A,2019,1,2019-01-01,4.0
30,MT,444,cov201901,A,2019,1,2019-01-01,4.0
30,MT,445,cov201901,C,2019,1,2019-01-01,2.0
30,MT,446,cov201901,A,2019,1,2019-01-01,4.0
30,MT,447,cov201901,A,2019,1,2019-01-01,4.0
30,MT,448,cov201901,A,2019,1,2019-01-01,4.0
30,MT,451,cov201901,A,2019,1,2019-01-01,4.0
30,MT,452,cov201901,C,2019,1,2019-01-01,2.0
30,MT,453,cov201901,B,2019,1,2019-01-01,3.0
30,MT,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
31,NE,441,cov201901,A,2019,1,2019-01-01,4.0
31,NE,442,cov201901,A,2019,1,2019-01-01,4.0
31,NE,443,cov201901,A,2019,1,2019-01-01,4.0
31,NE,444,cov201901,A,2019,1,2019-01-01,4.0
31,NE,445,cov201901,B,2019,1,2019-01-01,3.0
31,NE,446,cov201901,A,2019,1,2019-01-01,4.0
31,NE,447,cov201901,A,2019,1,2019-01-01,4.0
31,NE,448,cov201901,A,2019,1,2019-01-01,4.0
31,NE,451,cov201901,A,2019,1,2019-01-01,4.0
31,NE,452,cov201901,C,2019,1,2019-01-01,2.0
31,NE,453,cov201901,B,2019,1,2019-01-01,3.0
31,NE,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
32,NV,441,cov201901,A,2019,1,2019-01-01,4.0
32,NV,442,cov201901,A,2019,1,2019-01-01,4.0
32,NV,443,cov201901,A,2019,1,2019-01-01,4.0
32,NV,444,cov201901,A,2019,1,2019-01-01,4.0
32,NV,445,cov201901,B,2019,1,2019-01-01,3.0
32,NV,446,cov201901,A,2019,1,2019-01-01,4.0
32,NV,447,cov201901,A,2019,1,2019-01-01,4.0
32,NV,448,cov201901,A,2019,1,2019-01-01,4.0
32,NV,451,cov201901,C,2019,1,2019-01-01,2.0
32,NV,452,cov201901,C,2019,1,2019-01-01,2.0
32,NV,453,cov201901,A,2019,1,2019-01-01,4.0
32,NV,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
33,NH,441,cov201901,A,2019,1,2019-01-01,4.0
33,NH,442,cov201901,A,2019,1,2019-01-01,4.0
33,NH,443,cov201901,A,2019,1,2019-01-01,4.0
33,NH,444,cov201901,A,2019,1,2019-01-01,4.0
33,NH,445,cov201901,C,2019,1,2019-01-01,2.0
33,NH,446,cov201901,A,2019,1,2019-01-01,4.0
33,NH,447,cov201901,A,2019,1,2019-01-01,4.0
33,NH,448,cov201901,A,2019,1,2019-01-01,4.0
33,NH,451,cov201901,B,2019,1,2019-01-01,3.0
33,NH,452,cov201901,D,2019,1,2019-01-01,1.0
33,NH,453,cov201901,A,2019,1,2019-01-01,4.0
33,NH,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
34,NJ,441,cov201901,B,2019,1,2019-01-01,3.0
34,NJ,442,cov201901,A,2019,1,2019-01-01,4.0
34,NJ,443,cov201901,A,2019,1,2019-01-01,4.0
34,NJ,444,cov201901,A,2019,1,2019-01-01,4.0
34,NJ,445,cov201901,D,2019,1,2019-01-01,1.0
34,NJ,446,cov201901,A,2019,1,2019-01-01,4.0
34,NJ,447,cov201901,A,2019,1,2019-01-01,4.0
34,NJ,448,cov201901,A,2019,1,2019-01-01,4.0
34,NJ,451,cov201901,C,2019,1,2019-01-01,2.0
34,NJ,452,cov201901,C,2019,1,2019-01-01,2.0
34,NJ,453,cov201901,A,2019,1,2019-01-01,4.0
34,NJ,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
35,NM,441,cov201901,A,2019,1,2019-01-01,4.0
35,NM,442,cov201901,A,2019,1,2019-01-01,4.0
35,NM,443,cov201901,A,2019,1,2019-01-01,4.0
35,NM,444,cov201901,A,2019,1,2019-01-01,4.0
35,NM,445,cov201901,B,2019,1,2019-01-01,3.0
35,NM,446,cov201901,A,2019,1,2019-01-01,4.0
35,NM,447,cov201901,A,2019,1,2019-01-01,4.0
35,NM,448,cov201901,A,2019,1,2019-01-01,4.0
35,NM,451,cov201901,B,2019,1,2019-01-01,3.0
35,NM,452,cov201901,D,2019,1,2019-01-01,1.0
35,NM,453,cov201901,B,2019,1,2019-01-01,3.0
35,NM,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
36,NY,441,cov201901,B,2019,1,2019-01-01,3.0
36,NY,442,cov201901,A,2019,1,2019-01-01,4.0
36,NY,443,cov201901,A,2019,1,2019-01-01,4.0
36,NY,444,cov201901,A,2019,1,2019-01-01,4.0
36,NY,445,cov201901,D,2019,1,2019-01-01,1.0
36,NY,446,cov201901,A,2019,1,2019-01-01,4.0
36,NY,447,cov201901,A,2019,1,2019-01-01,4.0
36,NY,448,cov201901,A,2019,1,2019-01-01,4.0
36,NY,451,cov201901,C,2019,1,2019-01-01,2.0
36,NY,452,cov201901,C,2019,1,2019-01-01,2.0
36,NY,453,cov201901,B,2019,1,2019-01-01,3.0
36,NY,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
37,NC,441,cov201901,B,2019,1,2019-01-01,3.0
37,NC,442,cov201901,A,2019,1,2019-01-01,4.0
37,NC,443,cov201901,A,2019,1,2019-01-01,4.0
37,NC,444,cov201901,A,2019,1,2019-01-01,4.0
37,NC,445,cov201901,B,2019,1,2019-01-01,3.0
37,NC,446,cov201901,A,2019,1,2019-01-01,4.0
37,NC,447,cov201901,A,2019,1,2019-01-01,4.0
37,NC,448,cov201901,A,2019,1,2019-01-01,4.0
37,NC,451,cov201901,B,2019,1,2019-01-01,3.0
37,NC,452,cov201901,D,2019,1,2019-01-01,1.0
37,NC,453,cov201901,B,2019,1,2019-01-01,3.0
37,NC,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
38,ND,441,cov201901,A,2019,1,2019-01-01,4.0
38,ND,442,cov201901,A,2019,1,2019-01-01,4.0
38,ND,443,cov201901,S,2019,1,2019-01-01,
38,ND,444,cov201901,A,2019,1,2019-01-01,4.0
38,ND,445,cov201901,C,2019,1,2019-01-01,2.0
38,ND,446,cov201901,A,2019,1,2019-01-01,4.0
38,ND,447,cov201901,A,2019,1,2019-01-01,4.0
38,ND,448,cov201901,A,2019,1,2019-01-01,4.0
38,ND,451,cov201901,D,2019,1,2019-01-01,1.0
38,ND,452,cov201901,D,2019,1,2019-01-01,1.0
38,ND,453,cov201901,B,2019,1,2019-01-01,3.0
38,ND,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
39,OH,441,cov201901,B,2019,1,2019-01-01,3.0
39,OH,442,cov201901,A,2019,1,2019-01-01,4.0
39,OH,443,cov201901,A,2019,1,2019-01-01,4.0
39,OH,444,cov201901,A,2019,1,2019-01-01,4.0
39,OH,445,cov201901,B,2019,1,2019-01-01,3.0
