fips,stateabbr,naics,month_code,yoy_growth,year,month_number,date
36,NY,441,yy201901,1.1,2019,1,2019-01-01
36,NY,442,yy201901,-1.9,2019,1,2019-01-01
36,NY,443,yy201901,-4.8,2019,1,2019-01-01
36,NY,444,yy201901,11.3,2019,1,2019-01-01
36,NY,445,yy201901,5.8,2019,1,2019-01-01
36,NY,446,yy201901,-3.6,2019,1,2019-01-01
36,NY,447,yy201901,-2.5,2019,1,2019-01-01
36,NY,448,yy201901,3.5,2019,1,2019-01-01
36,NY,451,yy201901,-10.0,2019,1,2019-01-01
36,NY,452,yy201901,2.1,2019,1,2019-01-01
36,NY,453,yy201901,-14.4,2019,1,2019-01-01
36,NY,TOTAL,yy201901,0.6,2019,1,2019-01-01
37,NC,441,yy201901,1.9,2019,1,2019-01-01
37,NC,442,yy201901,1.5,2019,1,2019-01-01
37,NC,443,yy201901,-3.7,2019,1,2019-01-01
37,NC,444,yy201901,15.6,2019,1,2019-01-01
37,NC,445,yy201901,4.7,2019,1,2019-01-01
37,NC,446,yy201901,1.8,2019,1,2019-01-01
37,NC,447,yy201901,-8.4,2019,1,2019-01-01
37,NC,448,yy201901,11.8,2019,1,2019-01-01
37,NC,451,yy201901,-3.7,2019,1,2019-01-01
37,NC,452,yy201901,7.1,2019,1,2019-01-01
37,NC,453,yy201901,-0.5,2019,1,2019-01-01
37,NC,TOTAL,yy201901,3.0,2019,1,2019-01-01
38,ND,441,yy201901,-3.4,2019,1,2019-01-01
38,ND,442,yy201901,0.4,2019,1,2019-01-01
38,ND,443,yy201901,,2019,1,2019-01-01
38,ND,444,yy201901,10.3,2019,1,2019-01-01
38,ND,445,yy201901,15.4,2019,1,2019-01-01
38,ND,446,yy201901,23.2,2019,1,2019-01-01
38,ND,447,yy201901,-9.0,2019,1,2019-01-01
38,ND,448,yy201901,4.2,2019,1,2019-01-01
38,ND,451,yy201901,-15.9,2019,1,2019-01-01
38,ND,452,yy201901,4.0,2019,1,2019-01-01
38,ND,453,yy201901,-11.8,2019,1,2019-01-01
38,ND,TOTAL,yy201901,0.2,2019,1,2019-01-01
39,OH,441,yy201901,0.2,2019,1,2019-01-01
39,OH,442,yy201901,-3.0,2019,1,2019-01-01
39,OH,443,yy201901,2.4,2019,1,2019-01-01
39,OH,444,yy201901,24.6,2019,1,2019-01-01
39,OH,445,yy201901,4.1,2019,1,2019-01-01
39,OH,446,yy201901,2.8,2019,1,2019-01-01
39,OH,447,yy201901,-8.1,2019,1,2019-01-01
39,OH,448,yy201901,-1.5,2019,1,2019-01-01
39,OH,451,yy201901,-9.0,2019,1,2019-01-01
39,OH,452,yy201901,1.1,2019,1,2019-01-01
39,OH,453,yy201901,1.3,2019,1,2019-01-01
39,OH,TOTAL,yy201901,1.6,2019,1,2019-01-01
40,OK,441,yy201901,-3.3,2019,1,2019-01-01
40,OK,442,yy201901,0.6,2019,1,2019-01-01
40,OK,443,yy201901,2.2,2019,1,2019-01-01
40,OK,444,yy201901,12.1,2019,1,2019-01-01
40,OK,445,yy201901,7.3,2019,1,2019-01-01
40,OK,446,yy201901,10.9,2019,1,2019-01-01
40,OK,447,yy201901,-12.2,2019,1,2019-01-01
40,OK,448,yy201901,-1.2,2019,1,2019-01-01
40,OK,451,yy201901,-3.1,2019,1,2019-01-01
40,OK,452,yy201901,0.6,2019,1,2019-01-01
40,OK,453,yy201901,-1.1,2019,1,2019-01-01
