fips,stateabbr,naics,month_code,standard_error,year,month_number,date
16,ID,442,se201901,11.8,2019,1,2019-01-01
16,ID,443,se201901,16.9,2019,1,2019-01-01
16,ID,444,se201901,6.2,2019,1,2019-01-01
16,ID,445,se201901,5.5,2019,1,2019-01-01
16,ID,446,se201901,3.4,2019,1,2019-01-01
16,ID,447,se201901,3.8,2019,1,2019-01-01
16,ID,448,se201901,5.1,2019,1,2019-01-01
16,ID,451,se201901,8.7,2019,1,2019-01-01
16,ID,452,se201901,5.9,2019,1,2019-01-01
16,ID,453,se201901,6.3,2019,1,2019-01-01
16,ID,TOTAL,se201901,2.6,2019,1,2019-01-01
17,IL,441,se201901,2.6,2019,1,2019-01-01
17,IL,442,se201901,3.6,2019,1,2019-01-01
17,IL,443,se201901,6.7,2019,1,2019-01-01
17,IL,444,se201901,3.1,2019,1,2019-01-01
17,IL,445,se201901,2.3,2019,1,2019-01-01
17,IL,446,se201901,1.3,2019,1,2019-01-01
17,IL,447,se201901,2.2,2019,1,2019-01-01
17,IL,448,se201901,3.8,2019,1,2019-01-01
17,IL,451,se201901,6.9,2019,1,2019-01-01
17,IL,452,se201901,2.0,2019,1,2019-01-01
17,IL,453,se201901,2.8,2019,1,2019-01-01
17,IL,TOTAL,se201901,0.9,2019,1,2019-01-01
18,IN,441,se201901,3.2,2019,1,2019-01-01
18,IN,442,se201901,5.0,2019,1,2019-01-01
18,IN,443,se201901,8.5,2019,1,2019-01-01
18,IN,444,se201901,3.7,2019,1,2019-01-01
18,IN,445,se201901,3.2,2019,1,2019-01-01
18,IN,446,se201901,1.5,2019,1,2019-01-01
18,IN,447,se201901,2.3,2019,1,2019-01-01
18,IN,448,se201901,3.6,2019,1,2019-01-01
18,IN,451,se201901,8.5,2019,1,2019-01-01
18,IN,452,se201901,2.7,2019,1,2019-01-01
18,IN,453,se201901,4.4,2019,1,2019-01-01
18,IN,TOTAL,se201901,1.2,2019,1,2019-01-01
19,IA,441,se201901,4.2,2019,1,2019-01-01
19,IA,442,se201901,10.9,2019,1,2019-01-01
19,IA,443,se201901,12.0,2019,1,2019-01-01
19,IA,444,se201901,4.8,2019,1,2019-01-01
19,IA,445,se201901,5.4,2019,1,2019-01-01
19,IA,446,se201901,2.6,2019,1,2019-01-01
19,IA,447,se201901,2.7,2019,1,2019-01-01
19,IA,448,se201901,4.8,2019,1,2019-01-01
19,IA,451,se201901,8.8,2019,1,2019-01-01
19,IA,452,se201901,2.6,2019,1,2019-01-01
19,IA,453,se201901,5.3,2019,1,2019-01-01
19,IA,TOTAL,se201901,1.6,2019,1,2019-01-01
20,KS,441,se201901,5.1,2019,1,2019-01-01
20,KS,442,se201901,18.0,2019,1,2019-01-01
20,KS,443,se201901,13.4,2019,1,2019-01-01
20,KS,444,se201901,4.9,2019,1,2019-01-01
20,KS,445,se201901,4.8,2019,1,2019-01-01
20,KS,446,se201901,3.1,2019,1,2019-01-01
20,KS,447,se201901,3.3,2019,1,2019-01-01
20,KS,448,se201901,5.5,2019,1,2019-01-01
20,KS,451,se201901,11.1,2019,1,2019-01-01
20,KS,452,se201901,2.6,2019,1,2019-01-01
20,KS,453,se201901,4.2,2019,1,2019-01-01
20,KS,TOTAL,se201901,1.9,2019,1,2019-01-01
21,KY,441,se201901,3.9,2019,1,2019-01-01
21,KY,442,se201901,5.3,2019,1,2019-01-01
21,KY,443,se201901,11.2,2019,1,2019-01-01
21,KY,444,se201901,4.4,2019,1,2019-01-01
21,KY,445,se201901,4.6,2019,1,2019-01-01
21,KY,446,se201901,1.6,2019,1,2019-01-01
21,KY,447,se201901,2.4,2019,1,2019-01-01
21,KY,448,se201901,3.8,2019,1,2019-01-01
21,KY,451,se201901,8.7,2019,1,2019-01-01
21,KY,452,se201901,2.6,2019,1,2019-01-01
21,KY,453,se201901,3.7,2019,1,2019-01-01
21,KY,TOTAL,se201901,1.4,2019,1,2019-01-01
22,LA,441,se201901,3.6,2019,1,2019-01-01
22,LA,442,se201901,4.7,2019,1,2019-01-01
22,LA,443,se201901,9.8,2019,1,2019-01-01
22,LA,444,se201901,4.3,2019,1,2019-01-01
22,LA,445,se201901,3.1,2019,1,2019-01-01
22,LA,446,se201901,1.7,2019,1,2019-01-01
22,LA,447,se201901,2.7,2019,1,2019-01-01
22,LA,448,se201901,4.0,2019,1,2019-01-01
22,LA,451,se201901,9.4,2019,1,2019-01-01
22,LA,452,se201901,2.3,2019,1,2019-01-01
22,LA,453,se201901,3.7,2019,1,2019-01-01
